,name,lower_bound,upper_bound,optguess,calibrate
0,bb,0.01,21.94,5,1
1,satdk,0,0.000726,0.01,1
2,slop,0,1,0.5,1
3,smcmax,0.20554,1,0.8,1
4,max_gw_storage,0.01,0.25,0.19,1
5,Cgw,1.8e-6,1.8e-3,1.8e-5,1
6,K_lf,0,1,0.5,1
7,K_nash,0,1,0.3,1
8,expon,1,8,3,1
